K,Accuracy,ErrorRate
1,72.07792207792207,27.92207792207792
2,70.77922077922078,29.22077922077922
3,78.57142857142857,21.428571428571427
4,77.27272727272727,22.727272727272727
5,76.62337662337663,23.376623376623375
6,73.37662337662337,26.623376623376622
7,74.02597402597402,25.97402597402597
8,75.32467532467533,24.675324675324674
9,71.42857142857143,28.57142857142857
10,72.07792207792207,27.92207792207792
11,71.42857142857143,28.57142857142857
12,74.02597402597402,25.97402597402597
13,73.37662337662337,26.623376623376622
14,72.72727272727273,27.27272727272727
15,75.97402597402598,24.025974025974026
16,75.97402597402598,24.025974025974026
17,75.97402597402598,24.025974025974026
18,75.32467532467533,24.675324675324674
19,76.62337662337663,23.376623376623375
20,78.57142857142857,21.428571428571427
21,75.97402597402598,24.025974025974026
22,77.92207792207793,22.07792207792208
23,76.62337662337663,23.376623376623375
24,78.57142857142857,21.428571428571427
25,75.97402597402598,24.025974025974026
26,77.27272727272727,22.727272727272727
27,76.62337662337663,23.376623376623375
28,75.32467532467533,24.675324675324674
29,77.27272727272727,22.727272727272727
30,77.27272727272727,22.727272727272727
